,episode_ids,id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,summary
605,605,1981501,https://www.tvmaze.com/episodes/1981501/esenepozner-s02-special-zakladka-39-v-poiskah-grazdanskoj-oborony-konstantinopola-i-operatora-antonioni,"Закладка #39: в поисках Гражданской обороны, Константинополя и оператора Антониони",2.0,,insignificant_special,2020-12-07,20:00,2020-12-07,14.0,,
606,606,1982914,https://www.tvmaze.com/episodes/1982914/alex-og-aune-1x05-pa-gjengrodde-stier,På gjengrodde stier,1.0,5.0,regular,2020-12-07,,2020-12-07,12.0,,
607,607,2169851,https://www.tvmaze.com/episodes/2169851/brak-1x11-sencoubler,SENcoubler,1.0,11.0,regular,2020-12-07,,2020-12-07,8.0,,
608,608,1972057,https://www.tvmaze.com/episodes/1972057/red-vs-blue-18x05-sideways,Sideways,18.0,5.0,regular,2020-12-07,,2020-12-07,12.0,,Shatter Squad races to a secluded Fort Operating Base. The Mission: Protect Lavernius Tucker and prevent his sword from falling into the clutches of Viper. 
609,609,1978420,https://www.tvmaze.com/episodes/1978420/the-young-turks-2020-12-07-december-7-2020-hour-1,"December 7, 2020 - Hour 1",,291.0,regular,2020-12-07,,2020-12-07,120.0,,
610,610,1978421,https://www.tvmaze.com/episodes/1978421/the-young-turks-2020-12-07-december-7-2020-hour-2,"December 7, 2020 - Hour 2",,292.0,regular,2020-12-07,,2020-12-07,120.0,,
611,611,2176124,https://www.tvmaze.com/episodes/2176124/scishow-2020-12-07-weve-been-ignoring-female-birdsong-for-centuries,We've Been Ignoring Female Birdsong for Centuries,,334.0,regular,2020-12-07,,2020-12-07,,,
612,612,1981692,https://www.tvmaze.com/episodes/1981692/a-pogovorit-4x37-zoa-arovicyna-i-irina-magkova-bulimia-slabye-muziki-alkogolizm,"Зоя Яровицына и Ирина Мягкова: булимия, слабые мужики, алкоголизм",4.0,37.0,regular,2020-12-07,,2020-12-07,90.0,,
613,613,1983790,https://www.tvmaze.com/episodes/1983790/30-minute-meals-30x14-beef-bibimbap-with-all-the-fixings,Beef Bibimbap with All the Fixings,30.0,14.0,regular,2020-12-07,,2020-12-07,30.0,,"Rachael Ray makes a Korean-style meal in a bowl, loaded with protein, vegetables, sticky rice and an egg on top."
614,614,1983431,https://www.tvmaze.com/episodes/1983431/good-mythical-morning-18x60-will-it-cinnamon-roll-taste-test,Will It Cinnamon Roll? Taste Test,18.0,60.0,regular,2020-12-07,,2020-12-07,,,
615,615,1977998,https://www.tvmaze.com/episodes/1977998/the-champions-4x05-episode-5,Episode 5,4.0,5.0,regular,2020-12-07,,2020-12-07,5.0,,
616,616,1974419,https://www.tvmaze.com/episodes/1974419/professionals-1x05-process-of-elimination,Process of Elimination,1.0,5.0,regular,2020-12-07,,2020-12-07,48.0,7.1,Peter realizes how far Zora is willing to go and takes desperate measures to stop her. Vincent tries to convince Peter that it's a bad idea for both of them to go to Africa.
617,617,1974420,https://www.tvmaze.com/episodes/1974420/professionals-1x06-hot-zone,Hot Zone,1.0,6.0,regular,2020-12-07,,2020-12-07,48.0,7.1,"Vincent and Peter arrive in Congo but Grace is missing. They make a plan to save her while Agent Kurt Neumann reaches Africa, obsessed with the idea of confronting Vincent."
