,shows_id,time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
80,91,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,93,,1.0,0.0,1.0,0.0,0.0,0.0,0.0
82,94,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83,96,20:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84,98,20:00,0.0,0.0,1.0,1.0,1.0,0.0,0.0
85,100,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86,101,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
87,103,21:00,0.0,0.0,1.0,1.0,1.0,0.0,0.0
88,105,10:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
89,106,00:00,1.0,0.0,1.0,0.0,1.0,0.0,0.0
90,107,19:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91,108,19:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92,109,15:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
93,110,20:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0
94,111,21:25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
95,112,00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,113,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
97,114,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
98,115,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
99,116,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,117,11:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
101,118,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
102,120,20:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
103,121,10:00,1.0,0.0,0.0,1.0,0.0,0.0,0.0
104,122,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
105,123,22:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
106,124,06:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
107,125,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
108,126,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
